Latitude,Longitude
37.7749,-122.4194
37.775150417362276,-122.41889916527545
37.77540083472454,-122.41839833055091
37.77565125208682,-122.41789749582637
37.775901669449084,-122.41739666110183
37.77615208681136,-122.41689582637729
37.776402504173625,-122.41639499165275
37.7766529215359,-122.4158941569282
37.776903338898165,-122.41539332220367
37.77715375626044,-122.41489248747912
37.777404173622706,-122.41439165275459
37.77765459098498,-122.41389081803004
37.77790500834725,-122.4133899833055
37.77815542570952,-122.41288914858096
37.77840584307179,-122.41238831385643
37.77865626043406,-122.41188747913188
37.77890667779633,-122.41138664440734
37.7791570951586,-122.4108858096828
37.77940751252087,-122.41038497495826
37.77965792988314,-122.40988414023371
37.77990834724541,-122.40938330550918
37.780158764607684,-122.40888247078463
37.78040918196995,-122.4083816360601
37.780659599332225,-122.40788080133555
37.78091001669449,-122.40737996661102
37.781160434056765,-122.40687913188647
37.78141085141903,-122.40637829716194
37.781661268781306,-122.40587746243739
37.78191168614357,-122.40537662771285
37.78216210350585,-122.4048757929883
37.782412520868114,-122.40437495826377
37.78266293823039,-122.40387412353923
37.782913355592655,-122.40337328881469
37.78316377295493,-122.40287245409014
37.783414190317195,-122.40237161936561
37.78366460767947,-122.40187078464106
37.783915025041736,-122.40136994991653
37.78416544240401,-122.40086911519198
37.78441585976628,-122.40036828046745
37.78466627712855,-122.3998674457429
37.78491669449082,-122.39936661101837
37.78516711185309,-122.39886577629382
37.78541752921536,-122.39836494156928
37.78566794657763,-122.39786410684474
37.7859183639399,-122.3973632721202
37.78616878130217,-122.39686243739565
37.78641919866444,-122.39636160267112
37.786669616026714,-122.39586076794657
37.78692003338898,-122.39535993322204
37.787170450751255,-122.39485909849749
37.78742086811352,-122.39435826377296
37.787671285475795,-122.39385742904841
37.78792170283806,-122.39335659432388
37.788172120200336,-122.39285575959933
37.7884225375626,-122.3923549248748
37.78867295492488,-122.39185409015025
37.78892337228715,-122.3913532554257
37.78917378964942,-122.39085242070117
37.78942420701169,-122.39035158597662
37.78967462437396,-122.38985075125208
37.78992504173623,-122.38934991652754
37.7901754590985,-122.388849081803
37.79042587646077,-122.38834824707845
37.79067629382304,-122.38784741235392
37.790926711185314,-122.38734657762937
37.79117712854758,-122.38684574290484
37.791427545909855,-122.38634490818029
37.79167796327212,-122.38584407345576
37.791928380634396,-122.38534323873121
37.79217879799666,-122.38484240400668
37.792429215358936,-122.38434156928213
37.7926796327212,-122.3838407345576
37.79293005008348,-122.38333989983305
37.793180467445744,-122.38283906510851
37.79343088480802,-122.38233823038397
37.793681302170285,-122.38183739565943
37.79393171953256,-122.38133656093488
37.794182136894825,-122.38083572621035
37.7944325542571,-122.3803348914858
37.794682971619366,-122.37983405676127
37.79493338898164,-122.37933322203672
37.79518380634391,-122.37883238731219
37.79543422370618,-122.37833155258764
37.79568464106845,-122.3778307178631
37.79593505843072,-122.37732988313856
37.79618547579299,-122.37682904841402
37.79643589315526,-122.37632821368948
37.79668631051753,-122.37582737896494
37.7969367278798,-122.3753265442404
37.79718714524207,-122.37482570951586
37.797437562604344,-122.37432487479131
37.79768797996661,-122.37382404006678
37.797938397328885,-122.37332320534223
37.79818881469115,-122.3728223706177
37.798439232053425,-122.37232153589315
37.79868964941569,-122.37182070116862
37.798940066777966,-122.37131986644407
37.79919048414023,-122.37081903171953
37.79944090150251,-122.37031819699499
37.799691318864774,-122.36981736227045
37.79994173622705,-122.3693165275459
37.800192153589315,-122.36881569282137
37.80044257095159,-122.36831485809682
37.800692988313855,-122.36781402337229
37.80094340567613,-122.36731318864774
37.801193823038396,-122.36681235392321
37.80144424040067,-122.36631151919866
37.80169465776294,-122.36581068447413
37.80194507512521,-122.36530984974958
37.802195492487485,-122.36480901502503
37.80244590984975,-122.3643081803005
37.802696327212026,-122.36380734557595
37.80294674457429,-122.36330651085142
37.803197161936566,-122.36280567612687
37.80344757929883,-122.36230484140233
37.80369799666111,-122.36180400667779
37.803948414023374,-122.36130317195325
37.80419883138565,-122.3608023372287
37.804449248747915,-122.36030150250417
37.80469966611019,-122.35980066777962
37.804950083472455,-122.35929983305509
37.80520050083473,-122.35879899833054
37.805450918196996,-122.35829816360601
37.80570133555927,-122.35779732888146
37.80595175292154,-122.35729649415693
37.80620217028381,-122.35679565943238
37.80645258764608,-122.35629482470785
37.80670300500835,-122.3557939899833
37.80695342237062,-122.35529315525876
37.80720383973289,-122.35479232053422
37.80745425709516,-122.35429148580968
37.80770467445743,-122.35379065108513
37.8079550918197,-122.3532898163606
37.808205509181974,-122.35278898163605
37.80845592654424,-122.35228814691152
37.808706343906515,-122.35178731218697
37.80895676126878,-122.35128647746244
37.809207178631056,-122.35078564273789
37.80945759599332,-122.35028480801336
37.809708013355596,-122.34978397328881
37.80995843071786,-122.34928313856427
37.81020884808014,-122.34878230383973
37.810459265442404,-122.3482814691152
37.81070968280468,-122.34778063439065
37.810960100166945,-122.34727979966611
37.81121051752922,-122.34677896494156
37.811460934891485,-122.34627813021703
37.81171135225376,-122.34577729549248
37.811961769616026,-122.34527646076795
37.8122121869783,-122.3447756260434
37.81246260434057,-122.34427479131887
37.81271302170284,-122.34377395659432
37.81296343906511,-122.34327312186979
37.81321385642738,-122.34277228714524
37.81346427378965,-122.3422714524207
37.81371469115192,-122.34177061769616
37.81396510851419,-122.34126978297162
37.81421552587646,-122.34076894824707
37.81446594323873,-122.34026811352254
